transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
1898,1649,20354,12293,4196,9693
3796,10560,0,5196,2936,4500
7970,1299,10066,0,11464,13034
600,13790,1696,14490,16646,4494
6642,16404,5397,398,13073,15941
5495,8808,0,3598,2897,6098
0,5196,9893,0,0,5238
0,3950,0,2590,9166,0
13905,10892,2697,5897,8759,0
18256,11266,4500,8572,16637,8269
0,0,15940,1597,2590,8426
1300,4979,11290,16128,6394,300
10789,17905,16384,13106,13844,6347
16517,0,7878,1950,12864,0
11196,1500,6620,7642,6744,4500
10470,1000,0,20651,6785,9365
24085,796,0,6696,8198,6249
0,0,6896,0,0,0
19156,9294,5099,0,5680,8068
5198,12193,1097,5970,1500,0
5196,1298,11592,4642,3895,2900
0,9186,4577,10244,0,0
14862,11558,0,0,16622,0
16388,14061,13470,13491,450,12784
0,22158,0,0,0,8346
5694,7197,2847,16161,3696,600
15096,0,9986,19142,15851,6299
12243,11043,4588,10956,11355,18457
0,0,14460,1896,12294,0
7975,4440,8689,5446,0,0
5593,0,8097,6996,3193,11475
6294,0,5694,20732,4498,5578
12058,19606,4892,5970,0,9206
18156,16791,10897,649,0,0
6897,0,1598,7377,5599,2998
24357,0,6394,12243,0,6991
0,0,26457,25946,8594,0
0,12433,11445,0,0,398
7796,12240,7067,4334,6769,9794
3195,26333,6000,5390,9594,0
20533,8193,0,6644,1500,19174
0,18904,0,11891,10372,23053
28053,5897,6578,1990,14371,3992
13860,13218,0,1549,1598,4090
8693,6919,13382,16678,4894,2290
17769,0,0,0,949,0
8410,0,13357,2597,12091,14600
8842,9467,22322,6893,15930,2490
6000,6995,3693,14637,0,12659
13568,0,13399,7694,4747,2600
17686,150,2000,7793,2848,27080
1500,26762,11196,13058,10095,17753
0,0,17588,6028,0,7960
14556,10380,19003,11375,2199,3098
23450,21602,9787,11745,10883,15666
15277,0,14595,5696,11528,0
6545,13507,13992,0,5395,0
5992,10588,0,0,15743,300
0,9574,10558,6546,2397,13262
16687,4098,16473,18560,10461,17500
0,3997,8366,11774,7094,7698
0,597,2600,3995,6789,0
2140,3897,15322,19332,6995,7000
597,4299,0,6450,0,15514
3585,14061,6496,0,6196,6970
12091,0,17369,8493,6077,9445
5980,8397,0,20149,10094,14680
0,0,7387,7942,10293,8483
12071,150,7376,12097,14455,14782
12927,500,20461,1096,16746,15840
0,10995,2000,7244,0,7269
3397,7194,4929,7098,6892,9478
12048,5882,10185,9990,0,0
16694,12573,0,0,3300,1800
1598,12249,7397,0,1990,12359
8978,7294,7696,2598,0,0
300,6993,4776,11787,17423,6187
10087,199,11399,3000,7293,4280
8795,0,19571,13993,8990,13366
9007,1898,11794,2097,1400,13760
17105,0,4087,21189,13589,7791
6420,17670,0,14065,2796,10229
9646,0,6893,0,8467,0
12365,0,0,5196,18524,4779
22853,9887,5796,12773,10320,2297
4197,11008,0,0,0,1197
2748,8291,2645,22360,7945,14362
20625,12655,8667,21556,0,0
5279,10110,799,1000,12163,12862
6693,22605,1799,11224,10846,9877
5293,19175,0,0,4980,0
4500,3547,10095,6197,6567,0
1399,0,0,9744,2988,398
9159,0,11209,5098,0,5197
0,8367,10366,18808,3695,6798
0,0,14160,7990,199,6283
4480,3196,0,8337,12858,8868
1598,6970,747,12764,0,0
4894,5196,9797,3895,0,0
4995,13354,0,14193,14037,0
5480,9846,2397,16842,17896,2996
8094,0,6293,10686,1798,3897
5279,1990,12270,18473,18901,6799
9823,17168,11292,14856,7591,9766
0,796,600,799,0,8110
199,16399,3897,0,4094,18549
8294,2598,9795,300,0,7197
0,0,5100,26185,16867,2300
0,3596,6698,9558,0,13110
11073,18892,0,15069,4994,10828
6075,199,0,0,0,16110
20456,18411,2897,1347,20734,24076
8218,1047,10556,19936,0,12956
6443,0,5346,11142,0,946
13663,16274,18411,398,2397,2996
2890,2847,14376,21706,0,7216
17291,8795,11776,12816,8463,12290
0,6490,8218,500,0,0
0,10411,0,8392,13504,17882
15502,4300,8995,3748,7090,3796
6839,0,6692,15402,1299,2600
0,13659,14617,3300,12832,9496
14093,1950,8078,0,0,0
5397,6897,0,5296,0,15553
13549,0,13753,9470,16152,300
16424,199,11395,9392,0,0
0,4097,9193,7000,2199,1990
5627,12686,16346,2950,0,7779
8943,5597,0,6395,0,6094
8598,12760,7694,13180,7286,6000
24612,11965,0,17968,1598,5544
3398,7869,0,16191,0,1600
0,2046,2346,17357,3286,0
7686,3980,2195,8578,12096,2397
8863,12255,18749,1500,1800,19044
4980,11440,1896,0,0,0
4696,2098,3980,11284,2097,5343
0,0,0,5279,8290,3195
6398,1500,4776,5594,0,0
0,10176,300,11495,8973,450
8186,7943,8110,11314,12684,5970
11965,0,17053,16475,20455,0
21250,2596,0,23151,9717,22746
9867,2598,6766,11296,12662,16090
10375,23161,15613,8960,0,0
4494,11078,3193,6398,2189,0
7066,13444,17008,2598,25756,0
17702,11475,21442,13047,1299,11637
0,3347,0,19694,0,8994
10470,0,3500,9197,13754,0
12000,2796,3897,14773,7145,8968
12834,3043,5593,0,4000,0
0,8341,4995,3594,11175,7186
0,2000,0,9157,4693,1800
7686,13528,8793,11089,1500,8048
13563,0,7893,6169,8392,0
10794,1995,11789,17936,150,14885
19945,2296,0,3386,199,11186
17678,13513,8557,14387,5293,17446
16477,3899,11558,1598,0,0
12764,9890,0,11000,0,0
18347,8994,14997,0,21282,6080
0,9096,0,0,1348,4496
0,8697,0,398,24675,8249
5527,1996,20553,14401,4500,12570
898,1000,11477,0,9218,9269
6796,11045,0,0,20939,0
0,13073,15367,9478,0,0
5592,5895,7377,12831,20292,0
0,23308,450,13568,7629,0
3986,0,2587,0,0,2598
2945,11257,22734,0,5197,7497
1650,17502,2996,3897,0,4799
22156,9766,15363,2694,1644,12666
8599,15923,13454,9500,0,7874
18559,7028,3793,3300,0,11044
4043,0,0,23097,12692,11158
14521,0,9408,0,11055,4495
7982,0,4087,7899,19141,25820
3247,0,398,12965,4898,500
17752,0,14545,0,15930,0
2249,17297,4980,11279,16312,13960
4595,9787,199,6570,13423,16214
0,0,11243,3494,0,3897
0,15065,12867,0,14685,2396
12239,11387,3980,4378,0,0
2595,1000,20492,9916,15206,10495
0,15225,4047,2847,21762,2100
4480,14679,5241,4945,4050,32641
5897,12956,0,8985,14086,0
11960,19158,0,0,2896,0
0,7598,0,12375,4795,0
0,16575,0,0,21354,13811
18010,0,8648,10487,20858,14785
0,7196,10387,26433,8346,12389
15362,1990,600,15470,8867,7186
13450,12764,8440,12892,450,0
0,4696,4792,9632,0,12395
2988,0,6646,8847,5300,15377
7893,20136,8592,20552,3097,1500
3490,19874,10367,0,7368,2849
2545,1990,8676,2490,0,11375
9898,7299,0,5646,1598,18125
0,698,5196,1000,4788,5946
13455,8719,0,3595,9460,2538
7960,11357,0,9383,3897,6293
15372,7996,9196,7548,16141,14264
1499,7920,8676,5944,6245,10393
10658,3799,2699,8324,7190,5196
0,17590,0,6444,0,0
2000,3980,1846,5697,12494,3245
8175,17249,21336,9319,13507,199
5376,0,5970,2598,9196,1990
6000,3239,0,11367,20043,0
5140,7695,0,1299,12799,9460
14451,0,2348,15553,800,0
14043,12144,18059,1498,7767,0
2000,20546,4500,6542,11769,8090
16162,5995,0,23543,10296,2598
4887,11857,0,6588,0,0
2095,5896,2949,12040,9995,21151
17244,6897,6794,8036,0,6470
0,7494,10190,0,0,5800
10774,3997,0,150,17057,10240
18832,18424,0,10396,0,12389
5500,6927,15214,6993,3095,15744
2599,12386,0,3398,7087,6990
4500,500,4897,1500,14570,5997
7500,4130,5496,1246,4600,0
12237,4696,15043,0,6878,18837
0,10773,17395,12668,10558,0
7900,9570,14892,11796,0,0
199,0,16556,450,5596,21559
2394,2097,8795,500,22264,0
799,11586,18372,0,17475,0
8196,0,0,11600,0,5193
0,5895,6028,2397,14577,0
7297,18505,9887,3098,0,17755
15384,0,7696,6950,25752,7347
7078,4480,796,10083,3548,16306
8269,5100,1990,14420,11669,9894
15857,20844,2397,0,0,8694
0,13558,13667,0,0,0
14168,0,4837,17634,8096,14836
0,12777,7982,0,0,7093
5345,4500,7598,11256,8291,0
6696,10558,11471,3799,10558,2489
0,12988,0,13970,11645,2799
4500,0,20136,9094,5996,0
1800,11558,0,6844,0,7499
10566,3196,0,15039,10572,5992
0,8377,13186,4195,14578,0
16393,2597,21146,14355,19465,8495
16289,3150,597,12253,7574,11073
10280,10397,2695,12547,5229,10075
0,398,0,2388,7898,3000
0,13365,8598,6500,4577,2394
7498,1697,16852,13841,17156,6169
548,12444,0,8194,8894,0
15953,10110,5296,199,11774,3346
0,0,0,4997,0,4299
5594,18984,4586,150,0,12490
12954,0,3150,20071,9970,1749
0,5296,6728,4689,0,3980
24312,8609,2547,0,0,1299
21044,15897,0,4247,898,5897
0,19038,6645,0,4495,0
2095,12058,15374,7045,5594,22136
13486,6594,11480,11153,0,0
12377,1197,14477,3784,14254,18117
4738,15958,24859,2048,4297,19805
0,0,8196,0,9466,946
7020,0,597,0,11468,12464
16942,1650,14110,2597,4490,0
10197,6098,2490,0,9588,2950
0,6395,12058,0,4590,0
2097,150,0,10265,7192,8496
9443,9098,2100,10299,9709,2397
5299,7447,7960,3000,11773,9294
5196,7985,4500,0,6570,11661
0,0,11692,0,9127,5376
0,8595,17592,5544,14473,0
0,7639,7631,8165,747,17666
12766,8192,0,0,0,1990
9995,0,12040,0,8960,499
6592,21445,1300,450,12000,12857
13082,12456,0,0,7018,11070
0,13888,13385,11056,1996,2988
0,2598,6687,0,0,6000
15284,11256,6470,4588,0,4898
0,4547,6392,0,14485,0
14874,15703,4179,799,13361,9567
12289,10196,0,0,699,10290
6096,8445,2795,10694,18547,0
4696,2799,7176,5897,18035,19884
7195,10377,12135,13395,4346,8230
0,8367,9466,2490,0,5878
3087,7494,0,12085,799,17254
3198,4887,6941,3000,11332,1047
23254,3000,4096,17647,3980,31540
6996,8796,4394,300,0,0
2000,0,8294,17111,24230,3248
7698,18256,0,6199,0,600
0,0,0,8888,13666,18550
5346,17103,12955,7877,2100,12843
12457,0,8347,796,0,3980
2547,5579,1990,5970,0,2600
0,5100,0,4697,4245,0
450,597,4500,7796,1748,2399
6950,9585,21990,0,17653,5480
8444,0,4980,8898,15353,0
799,0,0,0,14551,0
0,10598,0,0,16251,0
799,1097,0,5794,0,0
19842,1500,17755,9169,13789,0
5297,0,9599,21166,7092,0
3289,946,8110,2150,0,13543
0,24422,36669,0,0,6047
14504,1990,0,7480,6285,14568
10260,0,7150,7789,12455,698
1990,6493,19463,5392,17356,0
2000,5397,2098,9771,5000,0
17656,29142,0,6995,7093,0
7197,10369,12659,0,4445,7269
0,5643,15856,6429,19665,0
10159,1246,10865,12867,29862,11191
15061,23920,450,8245,17467,10395
0,3000,0,3297,6000,2195
12355,3696,3980,2950,0,3980
4500,0,11430,5994,9548,6000
7933,0,18103,12754,15063,0
0,0,1100,0,796,0
7794,199,13675,12594,0,3000
4745,8186,0,25111,9994,4295
600,17887,0,13363,22037,11184
8346,5185,3150,8070,7099,8696
7047,1996,597,0,0,9616
16789,0,0,4886,0,12290
6195,21355,20316,9297,998,0
0,1500,0,6196,4397,5186
0,0,597,0,13192,9793
300,4548,300,7797,5679,0
5594,17385,0,0,22864,4996
0,0,0,16879,3695,2290
3898,5594,0,8566,7344,0
6985,24859,0,0,0,12272
0,9578,3998,9593,1993,3000
0,12211,1500,7776,15696,3695
0,14578,2000,16925,0,17290
10742,26054,0,14455,1299,10930
0,2789,9267,600,14159,22649
7094,4980,0,5779,0,11547
19254,0,5193,6398,0,799
8983,16003,4047,5196,8392,0
8045,7790,0,13322,12420,21761
11953,8098,13156,13867,9995,6544
10960,9000,30013,9417,14456,0
1446,9047,11867,0,9193,14312
7978,4096,12029,0,4797,2795
4592,13596,4787,3793,9090,0
5995,8067,11343,11992,12846,0
0,2000,3598,8974,11299,3596
22249,8986,7738,10877,950,14571
3980,0,11348,0,0,16471
4494,7698,0,19265,6236,9496
12239,0,0,8796,6600,600
0,5899,0,11193,10678,19603
0,600,0,6897,17396,6995
0,0,7789,10620,8246,21882
9075,500,3588,0,3980,13757
0,17456,5082,7693,0,16224
13826,17049,7595,500,9460,14888
9196,9766,0,0,2500,2697
7197,0,11379,7470,22899,15187
0,0,15760,6994,20386,0
23983,12827,0,9991,10808,8145
23455,12244,0,17308,9093,19649
5079,5397,0,0,450,2000
6000,9491,3099,9543,0,13962
16643,16398,199,0,5970,2598
0,2990,8895,0,9897,0
4387,2598,0,0,0,7781
2397,1898,1950,2844,9225,12120
14244,15784,0,0,14867,3248
1595,19322,0,1799,6897,946
0,4800,0,27302,11196,300
6797,12470,5646,21528,6091,3196
6547,16770,17234,10556,8269,15761
6194,8399,0,3196,3588,7980
5980,19066,4098,9616,5998,13538
0,13073,8000,8557,300,2000
5149,25353,4599,10057,16477,13044
17055,10094,6393,12614,4888,5898
2598,10755,16046,10877,10755,5279
0,5397,14890,8196,14047,15553
19920,4749,8438,21223,1500,0
6675,15145,5970,14587,4897,1500
796,18673,0,6169,13455,2587
22754,0,4196,0,0,15671
5496,21726,7291,11226,8888,4292
12388,14214,0,10954,0,1597
1000,0,995,0,0,1598
5777,0,20300,0,13851,4299
5346,3499,4593,14225,5294,12105
9547,7742,8147,12093,0,12468
3796,11572,0,3738,0,2997
8145,8897,1990,10342,8880,0
0,3888,6894,0,10965,10196
9480,2397,0,3886,15663,12744
6479,15366,0,1598,0,24030
796,6497,0,5497,0,0
0,11096,0,12104,0,11892
15063,18653,0,8195,15507,4894
0,398,14879,0,13592,11664
12790,17744,0,1099,6295,16454
3496,4387,650,0,5786,13317
4495,13283,0,0,3985,16586
11159,10769,12696,3150,15389,0
5297,3598,8217,8884,9410,10026
3996,5388,3246,0,7296,7186
2397,17153,8077,8392,10167,0
15598,9206,8068,2443,8910,500
9862,26636,0,16349,4785,9491
4047,0,11153,11197,0,0
5792,10276,15681,0,15262,14544
23751,1500,24259,0,15691,17563
6368,12036,21835,6197,0,597
0,0,5829,1797,6450,0
0,7269,4150,5299,1299,0
1950,14192,7398,9696,12030,2396
3000,0,9410,17709,1198,10565
15368,0,0,14992,5970,28232
0,0,8557,3193,14867,0
9766,0,0,0,0,5741
10708,0,9196,20348,300,15394
7996,14869,10485,11148,150,7693
15070,548,4598,600,3343,13279
18517,2296,0,14491,18656,7186
6980,0,13756,10476,7198,2399
13588,15938,18553,5594,0,0
0,0,2097,12796,0,5199
10431,7098,16197,1498,3295,5244
4898,15207,0,16642,14404,20166
8960,0,5196,22992,796,2847
6187,1299,0,12515,4980,0
9897,6000,2296,17530,27554,13068
7137,0,7568,15759,0,1993
15369,10293,7995,4197,0,1299
8707,12470,4792,7997,14858,15450
1299,2299,8269,20592,2000,9466
0,0,14661,4980,4577,21581
12188,0,0,17555,0,0
16558,21058,10093,3246,30348,5193
21011,25842,10390,0,0,0
6196,1449,7436,3397,15052,9777
5879,1500,9800,3980,3000,14929
18089,22315,5130,10881,3198,0
5429,8966,7770,8199,15365,13781
0,14915,0,0,4897,14132
8496,1497,8759,18515,5196,25101
1598,7167,3146,9897,2248,14982
9084,0,1249,6276,13067,0
0,14104,5496,3595,0,9168
0,3196,699,12461,5279,10460
9895,0,10489,0,6476,15455
5743,796,10616,14857,0,5897
6392,7695,0,13293,0,0
0,12803,150,11572,3594,650
7140,0,1047,19940,6137,0
0,8300,13373,7485,15465,14211
5645,5094,9383,3990,0,1599
17089,23858,10592,0,10470,2097
11940,17241,2799,4197,11176,9975
8465,0,1000,6843,11766,8545
1896,0,3298,0,9763,10068
10047,650,7396,5995,4497,11766
0,4240,2198,23859,0,0
900,5196,0,0,7185,0
9972,1199,1699,10570,7000,8560
0,16270,0,7866,6540,0
5279,0,12105,199,5544,0
1047,0,0,4495,4000,0
0,2500,4699,3895,0,4749
6698,5346,4494,7296,0,11073
12964,11143,12055,22915,8343,2900
0,3849,0,13308,0,0
799,3000,4897,6145,11028,0
21789,0,9796,6649,0,14863
7186,15246,10709,1500,0,0
16182,500,5295,4747,15075,4545
6093,8942,8597,2048,0,6500
2799,4789,13490,11357,0,2249
9847,6744,0,7869,8958,15196
5596,4698,3397,0,9495,8493
2000,0,1050,8960,2796,0
16800,10093,0,14125,17440,13558
13821,2195,11397,6495,12096,26455
0,8093,8490,12457,0,13033
5677,0,0,4897,10244,0
0,5588,2598,5186,7043,7098
9659,8192,2899,24651,7593,897
4547,0,0,10188,0,9069
15742,7075,14294,5575,0,15909
1500,9447,8766,21243,6789,14886
8867,0,13794,3796,4897,5894
9891,10965,1000,2940,0,3000
11392,0,0,12090,0,12962
898,398,5294,17056,15637,0
17390,14203,13382,0,2897,12990
0,199,747,17688,0,0
2450,5693,0,8986,15439,13091
13265,4975,0,16602,4390,0
8197,9193,10696,597,12390,0
7598,13187,0,4292,0,4693
0,0,18745,10042,6283,1047
10764,17245,4500,0,13367,0
16471,12440,0,10295,9365,15942
14584,9179,11796,0,21000,19044
15387,20362,0,2799,5645,8598
10558,13872,0,18112,5494,4800
18752,8067,20952,14955,0,20110
10578,5248,13883,12965,3846,3000
19425,0,4776,14176,7990,11857
5098,20842,0,7800,14807,0
0,5296,7678,16955,7584,3398
0,5895,150,6098,16254,9858
0,11967,17463,5577,5644,18240
14392,8269,7984,12858,20135,20533
3992,2988,22512,10889,7090,14154
300,8568,5088,150,3000,3196
4650,3048,0,0,0,13676
3897,2397,0,6799,11389,9340
9897,398,8844,0,0,6377
0,15767,9796,10796,398,9460
0,19223,0,12073,0,1500
9304,5970,15793,6567,0,0
16352,0,14659,4735,11359,11987
0,10518,0,0,0,0
11465,600,7495,9567,10206,0
6199,0,0,0,30806,799
0,14764,2697,6196,0,747
0,0,0,0,10787,1000
11134,1696,2095,0,15253,14958
0,3196,0,0,0,25235
0,16491,3297,5547,0,0
13272,0,5598,6769,10794,18375
4800,18418,22274,0,0,6894
8517,0,0,3496,13794,4795
0,0,0,597,11263,0
25413,5179,150,11689,0,0
1194,2949,14989,14538,12893,22434
16756,5299,7543,4500,17602,14836
0,13513,0,10397,5580,649
4595,10357,0,10341,6193,8392
7094,0,8367,0,0,0
0,0,0,2695,1996,0
6795,13153,1597,8781,22731,10864
747,12305,4397,0,3000,0
13191,0,6594,4694,0,8196
11945,6997,12358,6394,7092,3980
12985,15017,0,3694,2397,23688
0,12793,5196,13243,500,0
20053,3980,0,11260,9726,12653
0,4500,13508,0,5970,12249
9193,6742,3300,11943,2500,0
0,7686,19443,8696,5300,1050
0,2440,0,0,4547,11459
21765,10877,0,10589,0,0
10594,600,19571,8076,15955,0
14674,0,3195,12604,0,5141
4694,13725,5048,5279,11666,8691
1500,8493,600,0,5039,15587
7246,4445,2790,1500,7198,13594
7589,18910,10392,17937,698,9460
6893,15115,500,12873,23930,0
13357,0,4196,0,11347,17816
12285,0,5496,18803,0,4590
11191,0,5097,0,4393,0
0,1145,7960,10089,0,0
19759,2795,0,13817,0,0
0,6797,10195,20260,10626,0
14935,6600,0,2440,0,4280
0,23862,18347,10771,3297,15263
0,0,9098,12460,0,12743
0,12674,0,5584,5196,0
0,8480,12523,0,0,4098
0,150,0,20802,1047,5795
0,5496,0,0,3996,15090
0,0,12094,15458,0,0
4299,13955,6145,7047,16177,0
8367,5545,0,3888,0,8196
5795,11156,10573,0,0,0
11061,3490,8544,10997,4295,5297
20560,4483,10209,0,17053,0
0,0,16540,14990,0,16693
0,9217,25262,14384,6570,4347
1000,600,8260,13172,22407,0
12135,4296,0,15402,11213,3000
18794,7500,2990,8997,0,13439
26216,19160,8272,3646,6399,2598
7336,2545,18697,6794,12581,3548
0,5845,0,0,0,6293
4682,0,0,8294,15051,9423
0,10759,3597,11945,4094,14759
10196,4441,1990,14362,12266,0
7470,15190,12745,9300,17003,0
10096,11037,10348,8358,11390,4950
5796,6236,9280,0,14486,16520
0,0,1546,0,0,9259
8891,4598,0,2149,10776,10837
7941,2000,0,25914,12357,23430
9972,0,8756,11764,5578,0
0,13043,8847,8591,4794,0
0,0,9176,10497,9294,7092
5594,11156,6796,398,0,6192
14889,8568,10708,11640,3348,4494
3043,20456,14380,11889,4085,10495
0,16334,9269,16384,18666,0
0,5146,14941,4786,0,9975
0,14470,3196,8909,15525,0
0,1099,10043,0,12018,10867
0,0,13646,6245,12970,14716
0,0,796,1000,5346,12689
0,16625,0,9166,19571,1000
4994,8942,3086,0,6099,7443
6693,13930,0,6239,15141,14203
10470,12682,5296,0,7960,4993
7678,2445,7088,13269,1650,7136
3095,1500,0,13396,15940,9574
14153,7498,17150,6000,17475,20393
19562,14536,20238,16878,2797,13041
4595,5478,0,7294,3346,2898
26246,16086,12893,17451,7500,2394
9897,8000,13593,0,30037,0
8367,0,500,1500,15384,4498
0,11288,14767,7297,18859,4799
23389,300,10853,22480,15895,12004
21683,9488,5397,9165,7377,13338
8242,0,796,9744,16347,5347
8115,12292,8748,150,1546,0
15127,5594,11868,5693,0,1299
5796,12965,6246,0,7990,29891
1396,0,0,3236,5686,2000
13156,2895,0,750,0,0
11104,7176,4592,10055,19799,5994
7070,13470,12492,0,10495,0
17012,8977,0,8480,7000,13871
15339,10480,0,12363,22734,10006
17298,18196,11489,10727,0,2797
5300,799,7895,2397,500,6849
0,9786,15062,0,0,8243
20256,0,0,2844,4894,3300
0,0,0,9897,6496,3196
14288,5970,13496,7216,0,0
20410,0,22765,2397,0,2000
13192,13642,15965,14367,12688,950
17000,5394,7960,3450,0,10944
7186,3548,14976,0,0,0
15038,11305,11568,19596,5995,0
0,8982,16932,7038,25643,4891
6000,6770,13766,0,9490,19185
12589,4795,16662,7385,7950,0
21064,7960,6292,0,14892,13966
150,0,10276,10344,0,0
3497,11444,5397,13839,6368,796
11264,0,9373,2000,5149,0
21527,0,6889,0,1892,5992
8093,2547,13770,8566,2195,11648
300,11265,0,9696,0,0
3598,5897,500,21767,19101,17687
0,0,3897,5598,6470,4094
3150,4295,4483,2189,10395,0
0,0,300,13804,12634,9858
0,0,0,150,8368,11884
2150,14456,0,26027,0,0
6292,1500,0,0,5944,0
2899,21735,5894,6450,15683,17693
11129,11882,0,1194,9295,0
0,4594,12294,3300,18168,0
12289,4100,11733,14392,8792,6098
0,8547,0,12766,9593,1000
5692,5943,0,3980,15953,0
0,8295,0,2640,6743,0
0,0,0,13714,14616,2799
0,13265,20719,9642,150,3445
7099,6897,0,0,0,10280
4796,0,1990,4537,5000,0
6500,13858,7047,0,10884,11095
4947,0,8769,13995,0,4500
3795,4196,12387,4698,12676,12498
8470,12530,14252,11158,8159,0
0,398,0,3096,8878,3193
3289,17754,15661,0,8496,18506
6343,9187,18127,9892,0,5186
4776,7495,9299,300,500,5150
13894,13156,6742,17804,0,450
0,7982,9059,23814,20582,2898
13753,11343,5397,0,22597,0
14382,1100,0,8296,8794,7748
15493,0,10757,17609,16940,9867
1990,0,0,2950,6794,5196
4397,9897,8833,6494,0,13874
0,5584,23336,17043,2296,4577
0,5189,300,0,1500,3240
3796,17181,18786,0,0,9057
4141,13806,0,4197,16874,6495
4897,13684,20797,13083,14560,5186
8397,0,14319,8394,14821,14067
0,10293,18591,4196,17198,0
1898,0,6578,13379,0,12904
0,22837,16380,13487,0,4547
6599,0,5846,1299,1592,6600
5597,4344,0,7767,398,0
0,3397,17989,6697,11195,12940
3640,21342,9760,5833,0,0
11876,5299,14176,7594,0,14289
14849,6337,0,9566,5896,4246
8769,1598,0,3000,8490,4794
18069,5996,3594,13343,6099,1249
0,4650,6995,998,7449,0
3748,13294,2896,7633,5970,9671
0,9175,7866,0,3298,3098
12941,300,3395,11446,21253,10145
10840,6146,0,0,6488,15766
8827,9367,0,5000,5976,0
8068,0,199,2544,7419,1500
22498,6794,4776,30435,14593,16203
8593,0,12832,799,20081,11391
14244,14718,0,0,5686,5196
9790,0,0,199,7997,17887
0,4849,13094,2095,12616,0
23895,15259,5746,7430,0,7993
2399,0,25840,0,5600,12214
3388,15485,26114,0,6377,17188
10057,0,10997,0,4598,10888
25095,199,0,150,9485,0
11159,0,0,450,12969,3193
9098,0,0,9692,17559,18992
5792,3588,0,17522,0,3897
6779,9696,6500,6196,0,13256
1598,7237,0,5793,9744,16146
16192,33046,0,9665,0,15502
150,9599,24809,0,3135,0
5980,0,600,0,0,15677
5980,300,15431,8496,0,4696
796,10990,3897,0,0,6897
9552,8120,17137,0,4696,0
14535,17750,3199,23469,6688,7496
12687,0,8916,27658,0,150
3594,7247,16354,9436,13296,3490
13759,4197,16357,7896,12592,0
14744,14290,6799,15456,0,7569
0,21346,7393,2346,7193,5050
17682,0,0,13289,0,6299
11367,14288,6894,548,0,0
8593,0,0,300,2697,0
12764,8199,3980,18239,17641,11578
8146,8346,0,6091,0,21078
19940,0,9190,12377,13351,0
8120,0,5596,0,0,0
15176,7196,0,5196,0,14962
0,8598,1598,0,6289,4546
0,4678,9547,3693,9319,0
2694,16486,9795,0,0,12288
11196,3450,6576,8869,1598,19371
2697,0,0,0,8480,0
9897,2398,5795,19051,0,4430
849,9673,0,13490,4745,20562
5799,10693,150,9696,5245,2988
8294,7593,18698,1996,11984,0
17258,3980,4699,17455,6597,14450
15514,1796,0,0,11695,6175
0,0,9326,5646,9460,12898
2149,9663,1595,0,0,0
12635,25191,0,0,0,2000
12843,0,12040,9196,4098,5144
6693,6543,15753,12045,12816,17356
11843,18512,4500,4130,0,0
18191,15049,0,0,0,13063
2699,0,0,20566,5496,6567
0,10294,3087,8480,0,16392
10888,0,0,9290,5150,7173
6493,10274,0,4598,3980,16335
5344,10093,6598,10993,9141,6291
4696,5395,800,9476,0,12269
0,7960,4442,8491,9192,22563
8196,300,2598,398,12813,21835
18192,10274,5130,13281,0,12283
22352,7297,9157,7292,12565,20983
15486,11294,0,7835,14960,0
19146,0,6490,11857,2600,15465
15392,17104,11755,0,11192,13299
14159,10606,4796,15046,9388,8185
17186,0,15035,0,799,3996
8398,12257,2895,0,15293,12073
5697,0,13042,0,0,10058
10878,450,14260,23465,13292,15441
4577,398,13805,6992,2896,14296
2748,8293,1500,7996,22827,10735
19354,10858,5196,0,4794,1598
7786,19480,11332,9367,11763,7960
0,6897,9796,0,3538,13522
3199,5293,5196,21950,9174,597
26835,0,12195,0,13450,2098
14166,11292,9960,0,13593,16404
16213,0,0,3990,5598,11854
5336,9299,14268,5000,15694,16477
2498,1500,13018,18356,4445,12220
13159,7179,398,5894,10295,14961
7146,10466,2748,0,0,0
2988,0,0,1896,3349,1598
11568,4598,10772,3898,7078,9692
11892,0,9112,6150,1798,0
19455,15460,8994,7990,15013,19957
3490,18742,6970,4598,5294,25332
7188,7696,597,9800,14304,8966
0,11982,11769,4500,6294,0
0,0,4397,4397,7293,13156
2896,3345,13834,3144,39694,0
199,2598,6794,0,5970,11193
18515,15315,11554,7934,24739,18786
22993,20700,0,0,9077,3150
0,0,0,0,7090,11094
10083,0,0,7150,5598,0
3000,11445,3997,2747,1500,17250
0,0,4387,0,15465,11269
13321,11269,20412,0,0,0
10594,0,17588,1898,0,8847
18999,300,14324,0,3000,0
7396,0,11316,12524,14037,10690
0,0,15930,10399,20885,0
0,0,21315,0,13807,0
5145,21699,3897,9080,8392,150
7960,0,500,11824,0,0
0,0,11043,8989,10700,12890
3095,11289,0,5796,22853,14893
8644,2847,14672,0,0,8143
13674,8795,18690,12455,0,10216
0,0,13547,10400,0,7067
597,14655,0,7568,0,6000
13579,0,14377,0,8668,11756
7595,0,4094,8567,7178,1000
14664,13868,8883,8784,2498,0
16465,4693,799,6894,11156,11188
20114,11357,1595,5085,12441,0
0,3146,16557,8392,18662,3300
6145,2197,9176,7636,6194,3795
0,0,10954,0,5995,14656
150,13847,0,7269,8897,6294
0,0,3446,5284,10598,5347
11882,3895,5486,0,9536,15173
0,4789,14488,1898,9552,18784
7387,12070,15162,0,4998,14895
